Период (ММ.ГГ),Количество ДТП с пострадавшими,"Количество лиц, погибших в результате ДТП","Количество лиц, получивших ранения в результате совершения ДТП"
01.14 - 10.14,1038.0,202.0,1268.0
01.14 - 11.14,1135.0,224.0,1387.0
01.14 - 12.14,1327.0,246.0,1620.0
01.15,82.0,16.0,110.0
01.15 - 02.15,152.0,22.0,197.0
01.15 - 03.15,238.0,33.0,303.0
01.15 - 04.15,315.0,47.0,400.0
01.15 - 05.15,426.0,57.0,542.0
01.15 - 06.15,546.0,82.0,695.0
01.15 - 07.15,662.0,97.0,845.0
01.15 - 08.15,776.0,118.0,982.0
01.15 - 09.15,874.0,131.0,1100.0
01.15 - 12.15,1233.0,183.0,1506.0
01.16,81.0,12.0,105.0
01.16 - 02.16,151.0,29.0,193.0
01.16 - 03.16,208.0,45.0,287.0
01.16 - 04.16,287.0,51.0,374.0
01.16 - 05.16,385.0,62.0,501.0
01.16 - 06.16,488.0,73.0,638.0
01.16 - 07.16,585.0,85.0,762.0
01.16 - 08.16,675.0,98.0,882.0
01.16 - 10.16,910.0,130.0,1156.0
01.16 - 11.16,997.0,143.0,1253.0
01.16 - 12.16,1089.0,150.0,1362.0
01.17,71.0,10.0,85.0
01.17 - 02.17,123.0,19.0,144.0
01.17 - 03.17,186.0,21.0,218.0
01.17 - 04.17,254.0,29.0,308.0
01.17 - 05.17,334.0,38.0,416.0
01.17 - 06.17,409.0,44.0,501.0
01.17 - 07.17,501.0,63.0,604.0
01.17 - 08.17,601.0,71.0,723.0
01.17 - 09.17,702.0,86.0,843.0
01.17 - 10.17,811.0,98.0,982.0
01.17 - 12.17,999.0,131.0,1203.0
01.18,67.0,17.0,88.0
01.18 - 02.18,113.0,22.0,149.0
01.18 - 04.18,240.0,37.0,314.0
01.18 - 05.18,320.0,41.0,419.0
01.18 - 06.18,399.0,52.0,526.0
01.18 - 07.18,495.0,68.0,650.0
01.18 - 08.18,602.0,83.0,781.0
01.18 - 09.18,721.0,98.0,942.0
01.18 - 10.18,836.0,115.0,1086.0
01.18 - 11.18,937.0,123.0,1207.0
01.18 - 12.18,1035.0,143.0,1340.0
01.19,57.0,3.0,85.0
01.19 - 02.19,94.0,6.0,128.0
01.19 - 03.19,152.0,14.0,200.0
01.19 - 04.19,206.0,22.0,269.0
01.19 - 05.19,294.0,31.0,369.0
01.19 - 06.19,388.0,38.0,492.0
01.19 - 07.19,487.0,50.0,627.0
01.19 - 08.19,590.0,62.0,754.0
01.19 - 09.19,705.0,77.0,882.0
01.19 - 10.19,793.0,90.0,988.0
01.19 - 11.19,908.0,109.0,1124.0
01.19 - 12.19,1033.0,127.0,1274.0
01.20,66.0,11.0,77.0
01.20 - 02.20,131.0,22.0,151.0
01.20 - 03.20,205.0,36.0,238.0
01.20 - 04.20,253.0,38.0,297.0
01.20 - 06.20,398.0,57.0,461.0
01.20 - 07.20,500.0,65.0,583.0
01.20 - 08.20,616.0,84.0,720.0
01.20 - 09.20,708.0,96.0,827.0
01.20 - 10.20,784.0,107.0,926.0
01.20 - 11.20,876.0,118.0,1041.0
01.20 - 12.20,946.0,131.0,1149.0
01.21,52.0,10.0,62.0
01.21 - 02.21,102.0,16.0,129.0
01.21 - 03.21,155.0,21.0,197.0
01.21 - 04.21,216.0,23.0,278.0
01.21 - 05.21,294.0,30.0,389.0
01.21 - 06.21,354.0,38.0,458.0
01.21 - 07.21,430.0,44.0,548.0
01.21 - 08.21,500.0,56.0,631.0
01.21 - 09.21,583.0,63.0,731.0
01.21 - 10.21,659.0,71.0,826.0
01.21 - 11.21,725.0,84.0,894.0
01.21 - 12.21,842.0,93.0,1056.0
01.22,47.0,5.0,55.0
01.22 - 02.22,90.0,7.0,111.0
01.22 - 03.22,141.0,14.0,176.0
01.22 - 04.22,192.0,21.0,229.0
01.22 - 05.22,281.0,23.0,355.0
01.22 - 06.22,360.0,28.0,444.0
01.22 - 07.22,445.0,38.0,558.0
01.22 - 08.22,534.0,48.0,654.0
01.22 - 09.22,619.0,59.0,744.0
01.22 - 10.22,686.0,66.0,815.0
01.22 - 11.22,764.0,80.0,914.0
01.22 - 12.22,833.0,91.0,1020.0
01.23,57.0,1.0,80.0
01.23 - 02.23,104.0,7.0,133.0
01.23 - 03.23,176.0,12.0,212.0
01.23 - 04.23,241.0,18.0,294.0
01.23 - 06.23,417.0,39.0,506.0
01.23 - 07.23,507.0,51.0,626.0
01.23 - 08.23,605.0,68.0,729.0
01.23 - 09.23,710.0,77.0,864.0
01.23 - 10.23,805.0,88.0,972.0
01.23 - 11.23,877.0,100.0,1060.0
01.23 - 12.23,939.0,108.0,1138.0
01.24,35.0,4.0,46.0
01.24 - 02.24,76.0,4.0,100.0
01.24 - 03.24,127.0,12.0,159.0
01.24 - 04.24,183.0,20.0,229.0
01.24 - 05.24,247.0,26.0,306.0
01.24 - 06.24,341.0,38.0,420.0
01.24 - 07.24,434.0,50.0,531.0
01.24 - 09.24,601.0,85.0,753.0
01.24 - 10.24,673.0,94.0,840.0
01.24 - 11.24,743.0,103.0,922.0
01.24 - 12.24,833.0,112.0,1022.0
01.25,43.0,5.0,47.0
01.25 - 02.25,94.0,11.0,107.0
01.25 - 03.25,140.0,14.0,168.0
01.25 - 04.25,195.0,20.0,238.0
01.25 - 05.25,259.0,29.0,307.0
01.25 - 06.25,328.0,35.0,379.0
